OccId;Term;Scientific Name;File;1000-Words-Frame;text

cattle;Bos taurus;organism;PG10005;1;the travellers visit a gentleman farmer, who is a great projector,his breed of cattle,his apparatus for cooking--he is taken dangerously ill.

plant;Plantae;organism;PG10005;2;i then exhibited some of what i considered my most curious lunar plants,but this made the matter worse, for it so happened, that similar ones were then cultivated in mr. prince's garden at flushing.

bird;Aves;organism;PG10005;2;i next produced some rare insects, and feathers of singular birds,but persons were found who had either seen, or read, or heard of similar insects and birds in hoo-choo, or paraguay, or prince of wales's island.

insect;Insecta;organism;PG10005;2;i next produced some rare insects, and feathers of singular birds,but persons were found who had either seen, or read, or heard of similar insects and birds in hoo-choo, or paraguay, or prince of wales's island.

shark;Selachimorpha;organism;PG10005;4;we had, in singular succession, dead calms and fresh breezes, stiff gales and sudden squalls, saw sharks, flying-fish, and dolphins, spoke several vessels,had a visit from neptune when we crossed the line, and were compelled to propitiate his favour with some gallons of spirits, which he seems always to find a very agreeable change from sea water, and touched at table bay and at madagascar.

bamboo;Bambuseae;organism;PG10005;5;it was a little after midday when we reached the town, which is perched on a high bluff, overlooking the coasts, and contains about a thousand houses, built of bamboo, and covered with palm leaves.

palm;Arecaceae;organism;PG10005;5;it was a little after midday when we reached the town, which is perched on a high bluff, overlooking the coasts, and contains about a thousand houses, built of bamboo, and covered with palm leaves.

bamboo;Bambusoideae;organism;PG10005;5;it was a little after midday when we reached the town, which is perched on a high bluff, overlooking the coasts, and contains about a thousand houses, built of bamboo, and covered with palm leaves.

bamboo;Bambuseae;organism;PG10005;5;the village was near a gap in the mountain, through which the river seemed to have forced its way, and consisted of about forty or fifty huts, built of the bamboo cane and reeds.

bamboo;Bambusoideae;organism;PG10005;5;the village was near a gap in the mountain, through which the river seemed to have forced its way, and consisted of about forty or fifty huts, built of the bamboo cane and reeds.

tree;Tracheophyta;organism;PG10005;6;the mountains, by which the valley was hemmed in, were utterly impassable, thickly set as they were with jungle, consisting of tangled brier, thorn and forest trees, of which those who have never been in a tropical climate can form no adequate idea.

brier;Erica arborea;organism;PG10005;6;the mountains, by which the valley was hemmed in, were utterly impassable, thickly set as they were with jungle, consisting of tangled brier, thorn and forest trees, of which those who have never been in a tropical climate can form no adequate idea.

beast;Animalia;organism;PG10005;6;in some places it would be difficult to penetrate more than a mile in the day, during which time the traveller would be perpetually tormented by noxious insects, and in constant dread of beasts of prey.

insect;Insecta;organism;PG10005;6;in some places it would be difficult to penetrate more than a mile in the day, during which time the traveller would be perpetually tormented by noxious insects, and in constant dread of beasts of prey.

tree;Tracheophyta;organism;PG10005;8;i sat down on a smooth rock under a tamarind tree, the scene of many an interesting conference between the brahmin and myself, and i cast my eyes around--but how changed was every thing before me!

tamarind;Tamarindus indica;organism;PG10005;8;i sat down on a smooth rock under a tamarind tree, the scene of many an interesting conference between the brahmin and myself, and i cast my eyes around--but how changed was every thing before me!

bird;Aves;organism;PG10005;8;the gay flowers and rich foliage of this genial climate--the bright plumage and cheerful notes of the birds--were all there, but my mind was not in a state to relish them.

jasmine;Jasminum;organism;PG10005;8;the fragrance of the orange and the jasmine was no longer lost to me.

bird;Aves;organism;PG10005;9;the humming birds, which swarmed round the flowering cytisus and the beautiful water-fall, once more delighted the eye and the ear.

bamboo;Bambuseae;organism;PG10005;9;i took my usual bath, as the sun was sinking below the mountain, and, finding the hermit still soundly sleeping, i threw myself on a seat, under the shelter of some bamboos, fell asleep, and did not awake until late the next morning.

bamboo;Bambusoideae;organism;PG10005;9;i took my usual bath, as the sun was sinking below the mountain, and, finding the hermit still soundly sleeping, i threw myself on a seat, under the shelter of some bamboos, fell asleep, and did not awake until late the next morning.

sage;Salvia patens;organism;PG10005;9;"it was at this seat of science that i learnt, from one of our sages, the physical truth which i am now about to communicate, and which he discovered, partly by his researches into the writings of ancient pundits, and partly by his own extraordinary sagacity.

ray;Rajomorphii;organism;PG10005;10;but the most curious part of his information was, that a large number of them were born without any intellectual vigour, and wandered about as so many automatons, under the care of the government, until they were illuminated with the mental ray from some earthly brains, by means of the mysterious influence which the moon is known to exercise on our planet.

bird;Aves;organism;PG10005;13;the sensations caused by the novelty of my situation, at first checked those lively and varied trains of thought which the bird's-eye view of so many countries passing in review before us, was calculated to excite,yet, after i had become more familiar with it, i contemplated the beautiful exhibition with inexpressible delight.

ray;Rajomorphii;organism;PG10005;13;the sun's rays striking obliquely on the atlantic, emitted an effulgence that was dazzling to the eyes.

animal;Animalia;organism;PG10005;13;vegetable diet is more suited to them than animal, which favours a denser population.

plant;Plantae;organism;PG10005;14;the same seed becomes a very different plant when sowed in one soil or another, and put under this or that mode of cultivation."

plant;Plantae;organism;PG10005;14;"and may not," said i, "the very nature of the plant be changed, after a long continuance of the same culture in the same soil?"

